DATE,vwretd,vwretx,ewretd,ewretx,sprtrn,spindx,totval,totcnt,usdval,usdcnt,year
19940103,-0.003734,-0.003885,0.003510,0.003459,-0.002165,465.44,5029049560.00,7748,5048101180.00,7743,1994
19940104,0.002820,0.002536,0.006372,0.006329,0.003115,466.89,5042529960.00,7756,5029049560.00,7747,1994
19940105,0.002370,0.002339,0.005785,0.005772,0.001414,467.55,5054396870.00,7758,5042510780.00,7754,1994
19940106,-0.000604,-0.000610,0.002806,0.002778,-0.000920,467.12,5051490850.00,7764,5054387720.00,7757,1994
19940107,0.004660,0.004638,0.005166,0.005154,0.005951,469.90,5075000030.00,7766,5051490390.00,7763,1994
19940110,0.008585,0.008433,0.002477,0.002269,0.011428,475.27,5117859500.00,7769,5074951000.00,7765,1994
19940111,-0.001423,-0.001436,0.000763,0.000723,-0.002399,474.13,5111053060.00,7773,5117859220.00,7768,1994
19940112,0.000369,0.000367,0.001942,0.001937,0.000084,474.17,5112933160.00,7771,5110996560.00,7769,1994
19940113,-0.001463,-0.001533,0.003029,0.003003,-0.003585,472.47,5105076530.00,7771,5112902870.00,7770,1994
19940114,0.004685,0.004605,0.005096,0.005068,0.005164,474.91,5129108300.00,7776,5105075120.00,7769,1994
19940117,-0.001830,-0.001830,0.000957,0.000957,-0.003390,473.30,5119355670.00,7773,5128735890.00,7772,1994
19940118,0.001393,0.001363,0.001780,0.001753,0.002007,474.25,5126858570.00,7775,5119348660.00,7771,1994
19940119,-0.000383,-0.000409,0.001372,0.001354,0.000105,474.30,5124496020.00,7776,5126535430.00,7773,1994
19940120,0.001714,0.001713,0.002370,0.002358,0.001434,474.98,5134086720.00,7779,5124489040.00,7774,1994
19940121,-0.000624,-0.000631,0.004174,0.004168,-0.000547,474.72,5131041420.00,7784,5133857450.00,7777,1994
19940124,-0.004403,-0.004497,-0.001947,-0.001985,-0.005793,471.97,5107285890.00,7782,5130031390.00,7778,1994
