,cik,date,name,url
0,804055,1995-02-15,COCA COLA ENTERPRISES INC,https://www.sec.gov/Archives/edgar/data/804055/0000804055-95-000003.txt
1,5103,1995-02-15,AMERICAN GENERAL CORP /TX/,https://www.sec.gov/Archives/edgar/data/5103/0000950129-95-000078.txt
2,93556,1995-01-31,STANLEY WORKS,https://www.sec.gov/Archives/edgar/data/93556/0000093556-95-000001.txt
3,51434,1995-03-06,INTERNATIONAL PAPER CO /NEW/,https://www.sec.gov/Archives/edgar/data/51434/0000889812-95-000048.txt
4,65100,1995-02-08,MERRILL LYNCH & CO INC,https://www.sec.gov/Archives/edgar/data/65100/0000950130-95-000202.txt
5,65984,1995-01-09,ENTERGY CORP /DE/,https://www.sec.gov/Archives/edgar/data/65984/0000065984-95-000001.txt
6,716714,1995-02-28,STERLING SOFTWARE INC,https://www.sec.gov/Archives/edgar/data/716714/0000950131-95-000454.txt
7,742126,1995-03-15,AMERICAN ECOLOGY CORP,https://www.sec.gov/Archives/edgar/data/742126/0000899243-95-000077.txt
8,725625,1995-01-20,CORNERSTONE NATURAL GAS INC,https://www.sec.gov/Archives/edgar/data/725625/0000912057-95-000135.txt
9,720005,1995-03-29,RAYMOND JAMES FINANCIAL INC,https://www.sec.gov/Archives/edgar/data/720005/0000720005-95-000007.txt
10,355622,1995-02-08,RYANS FAMILY STEAKHOUSES INC,https://www.sec.gov/Archives/edgar/data/355622/0000355622-95-000003.txt
11,770975,1995-03-15,FIRST REPUBLIC BANCORP INC,https://www.sec.gov/Archives/edgar/data/770975/0000770975-95-000006.txt
12,70145,1995-03-22,NATIONAL FUEL GAS CO,https://www.sec.gov/Archives/edgar/data/70145/0000070145-95-000029.txt
13,100790,1995-02-08,UNION CARBIDE CORP /NEW/,https://www.sec.gov/Archives/edgar/data/100790/0000100790-95-000004.txt
14,718082,1995-02-16,BIG O TIRES INC,https://www.sec.gov/Archives/edgar/data/718082/0000718082-95-000004.txt
15,50341,1995-02-21,FLEET FINANCIAL GROUP INC /RI/,https://www.sec.gov/Archives/edgar/data/50341/0000908662-95-000031.txt
16,701221,1995-01-05,CIGNA CORP,https://www.sec.gov/Archives/edgar/data/701221/0000893220-95-000003.txt
17,38195,1995-03-13,FORT HOWARD CORP,https://www.sec.gov/Archives/edgar/data/38195/0000038195-95-000011.txt
18,5907,1995-03-17,AT&T CORP,https://www.sec.gov/Archives/edgar/data/5907/0000005907-95-000023.txt
19,96935,1995-01-09,TELEDYNE INC,https://www.sec.gov/Archives/edgar/data/96935/0000096935-95-000002.txt
20,798139,1995-02-06,CANONIE ENVIRONMENTAL SERVICES CORP,https://www.sec.gov/Archives/edgar/data/798139/0000798139-95-000013.txt
21,45370,1995-03-08,HANNA M A CO/DE,https://www.sec.gov/Archives/edgar/data/45370/0000045370-95-000003.txt
22,36995,1995-01-13,FIRST UNION CORP,https://www.sec.gov/Archives/edgar/data/36995/0000950168-95-000021.txt
23,109177,1995-03-16,ZAPATA CORP,https://www.sec.gov/Archives/edgar/data/109177/0000899243-95-000079.txt
24,59255,1995-03-13,VALHI INC /DE/,https://www.sec.gov/Archives/edgar/data/59255/0000059255-95-000004.txt
25,745113,1995-03-28,HOWELL CORP /DE/,https://www.sec.gov/Archives/edgar/data/745113/0000745113-95-000005.txt
26,858710,1995-02-06,DEVLIEG BULLARD INC,https://www.sec.gov/Archives/edgar/data/858710/0000950144-95-000262.txt
